fecha,tipo,categoria,titulo,descripcion,area_afectada,prioridad
2026-05-15,gap,backend-modelo,GAP-MODELO-001 Nombres inconsistentes de fechas reales entre entidades de la jerarquia,"Cada entidad de la jerarquia del Task Manager usa una convencion distinta para las fechas de ejecucion real: MasterProgram usa real_start_date/real_finish_date; Programa (Hijo) usa actual_start_date/actual_finish_date; AspersionSessionHeader usa act_start_date/act_finish_date; PhytoMonitoringHeader usa started_at/finished_at (DateTimeField, no DateField). Esto impide compartir un componente generico de edicion de fechas en el frontend y obliga a mapear campo por campo en cada modal. Fix recomendado: homologar a un solo par de nombres en el backend. Disparador: cuando se toque el modelo por otra razon o se priorice limpieza de deuda tecnica.","CIAgro_alpha_backend apps/field_ops/models.py, apps/datalayers/models.py",media
2026-05-15,gap,backend-modelo,GAP-MODELO-002 crop y crop_variety son dos FK separadas pero el caso de uso las unifica,"El modelo Programa tiene crop y crop_variety como dos FK independientes a CropCatalog. El caso de uso 3.5.6 indica omitir crop_variety y tratar el cultivo como una sola entidad (CropCatalog ya tiene un campo variety de tipo string interno). El frontend enviara solo crop_id y mostrara name+variety concatenados en el dropdown. Fix recomendado: decidir en backend si crop_variety se elimina del modelo Programa o se deja como campo opcional no usado por el Task Manager. Disparador: revision del modelo de catalogos agro.","CIAgro_alpha_backend apps/field_ops/models.py, apps/agro_catalogs/models.py",baja
2026-05-16,gap,backend-schema,GAP-SCHEMA-001 AspersionSessionHeader carece de status y assigned_to en OpenAPI,"El schema OpenAPI generado por drf-spectacular omite los campos status y assigned_to de AspersionSessionHeader, aunque el serializer los incluye en fields. Workaround: tipo augmentado localmente en useAspersionSessionDetail.ts (AspersionSessionDetail = base & { status?: string; assigned_to?: {...} | null }). Fix recomendado: agregar @extend_schema_field o corregir la declaracion del SerializerMethodField en AspersionSessionHeaderSerializer para que drf-spectacular los detecte correctamente. Disparador: proxima regeneracion de api.d.ts.","CIAgro_alpha_backend/apps/datalayers/serializers.py,CIAgro_alpha_front/src/types/api.d.ts,src/features/task-manager/hooks/useAspersionSessionDetail.ts",media
2026-05-16,diferimiento,producto,GAP-DEFER-001 Flujo de importacion CSV de Aspersion diferido a Bloque 5,"El SesionModal muestra un boton placeholder 'Importar datos (proximamente)' para sesiones de Aspersion. El flujo completo (upload CSV, preview-columns, Celery task, polling de import_status hasta 'done') se implementa en Bloque 5. Endpoint backend disponible: POST /api/v1/monitoring/aspersion/headers/{id}/import/. Disparador: Bloque 5 / post-MVP segun prioridad del producto.","src/features/task-manager/panel/SesionModal.tsx,CIAgro_alpha_backend/apps/datalayers/views.py",media
2026-05-18,gap,backend-schema,GAP-ADMIN-001 No hay endpoint de subida de imagen para foto de perfil,"El caso de uso 1.6.6.9 pide foto de perfil del usuario. Individual.photo_url es URLField (no ImageField) y no existe endpoint de upload. Workaround actual: el formulario de usuario captura la foto como URL de texto. Fix recomendado: endpoint de subida (a CDN/MEDIA) o aceptar el flujo de URL como definitivo. Disparador: cuando producto priorice carga de imagenes.","src/features/admin/dialogs/CreateUserDialog.tsx,CIAgro_alpha_backend/apps/users/models.py",baja
2026-05-18,gap,backend-schema,GAP-ADMIN-002 UserDetail.datacentrals mistipado como string en el schema OpenAPI,"get_datacentrals es un SerializerMethodField; drf-spectacular no infiere su forma y el schema lo tipa como string en vez de lista de objetos {id,name,slug,is_owner}. Workaround: tipo local UserDetail en features/admin/types con Omit+override y cast en los hooks useUsers/usePendingUsers. Fix recomendado: anotar el metodo con @extend_schema_field en UserDetailSerializer. Disparador: proxima regeneracion de api.d.ts o limpieza de deuda de tipos.","src/features/admin/types/index.ts,CIAgro_alpha_backend/apps/users/serializers.py",baja
2026-05-25,gap,rendimiento,GAP-ASPERSION-PERCENTILES Cómputo de cuartiles en backend (opcional),"El cómputo de Q1/Q2/Q3 para las capas 2–5 se hace en cliente sobre ~900–3700 puntos cargados (sort + interpolación lineal). Actualmente aceptable. Si sesiones muy grandes (>5000 pts) degradan el tiempo de respuesta del modal, evaluar: endpoint GET /monitoring/aspersion/headers/<id>/quartiles/?variable=<field> que compute percentile_cont en PostgreSQL. Disparador: si el cómputo de cuartiles en cliente toma >500ms medido con performance.now() en datos reales. Implementar con propose antes de tocar el backend.",src/features/task-manager/lib/aspersionLayers.ts,baja
2026-06-30,gap,frontend-deuda,GAP-FR-RS-001 typecheck pre-existente roto por id requerido en bodies de create,"Al regenerar api.d.ts contra el back actual, el schema marca id como requerido en los request body de varios create, rompiendo llamadas apiClient.POST que no envian id. Pre-existente y ajeno al reporteador (la rama ya tenia 17 errores de tipos viejos; regenerar baja a 5). Archivos: CreateDataCentralDialog, CreateDataCentralMainDialog, DataCentralMainPanel, FirstUseWizard. Fix recomendado: marcar id read-only en esos serializers del back (drf-spectacular) o cast as never en el front. Decision del dev: dejar fuera de alcance de esta sesion (frontend reporteador).","src/features/admin/dialogs/CreateDataCentralDialog.tsx,src/features/admin/dialogs/CreateDataCentralMainDialog.tsx,src/features/admin/panel/DataCentralMainPanel.tsx,src/features/workspace/FirstUseWizard.tsx",media
2026-06-30,gap,entorno-dev,GAP-FR-RS-002 Roles del sistema sin seedear en DB local,"El DB local (:8500) no tenia user_roles cargados (user_role=null en admin), por lo que ningun usuario pasaba IsTechnician/Supervisor; el seed_roles debia correr al arranque del contenedor pero la tabla estaba vacia. Corrido manualmente seed_roles (niveles 1-5) y asignado admin->SuperAdmin para smoke y demo. Disparador a vigilar: si el contenedor se recrea y vuelve a quedar sin roles, revisar entrypoint.",CIAgro_alpha_back/apps/users/management/commands/seed_roles.py,baja
2026-06-30,gap,backend-comportamiento,GAP-FR-RS-003 Reporte soft-deleted bloquea recreacion (unique constraint ignora soft-delete),"Tras DELETE (soft) de un SessionReport, crear uno nuevo para la misma sesion devuelve 400 'Ya existe un reporte para esta sesion', aunque el GET list lo excluye (count=0). El uq_session_report_per_session / la validacion de duplicado no excluyen filas soft-deleted. Impacto UX: una sesion cuyo reporte fue borrado no puede volver a generar reporte. Fix recomendado (back): incluir is_deleted=False en la constraint/validacion de duplicado, o reactivar el soft-deleted al recrear. Front: manejar el 400 con mensaje claro. Fuera de alcance (back).","CIAgro_alpha_back/apps/field_ops/models.py,CIAgro_alpha_back/apps/field_ops/serializers.py",media
2026-07-01,gap,feature-diferido,GAP-FR-RS-004 Lanzar actividad relacionada (F4) diferido,"El flujo 'lanzar actividad relacionada' desde un issue (crear una sesion de aspersion/fitosanitaria y enlazarla via related_content_type/related_object_id) queda diferido. VIABLE, mayormente desbloqueable reutilizando la infra existente. DISTINCION CLAVE: son dos mecanismos polimorficos distintos -> (a) adapter de reporte (datalayers/report_adapters.py) sirve para GENERAR un reporte PARA una sesion (snapshots), solo aspersion hoy (GAP-AC-001); (b) SESSION_TYPE_ALIASES (serializers.py) mapea alias->content_type. ENLAZAR una sesion relacionada a un issue NO necesita el adapter de reporte, solo resolver su content_type -> por tanto se puede ligar una sesion FITOSANITARIA a un issue aunque NO exista adapter de reporte phyto (GAP-AC-001 no bloquea el enlace). Estado confirmado (2026-07-01): SESSION_TYPE_ALIASES solo tiene aspersion->aspersionsessionheader (phyto ausente); report_adapters solo AspersionReportAdapter; SessionIssueSerializer expone related_content_type(int)+related_object_id en crudo, sin alias. RUTA DE DESBLOQUEO (5 pasos): BACK (dev-session-report, pequeno) 1) anadir alias de escritura related_session_type en SessionIssueSerializer (espejo de session_type del reporte) que traduzca 'aspersion'/'phyto' -> related_content_type via SESSION_TYPE_ALIASES (elimina el bloqueo del content_type numerico en el front); 2) extender SESSION_TYPE_ALIASES con phyto->datalayers.phytomonitoringheader (solo para enlazar, sin adapter de reporte). FRONT (dev-reports) 3) CreateSessionDialog (ya crea aspersion Y phyto) debe DEVOLVER el id de la sesion creada; 4) selector de programa/master destino desde el issue (el reporte solo denormaliza plot); 5) flujo: issue -> 'Lanzar actividad relacionada' -> elegir tipo -> abrir CreateSessionDialog -> al crear, PATCH del issue con related_session_type+related_object_id. Nota: la CREACION de sesiones (aspersion/phyto) ya existe en front; lo pendiente es el ENGANCHE. Alcance: fase dedicada coordinada back+front.","CIAgro_alpha_back/apps/field_ops/serializers.py,CIAgro_alpha_back/apps/datalayers/report_adapters.py,src/features/task-manager/dialogs/CreateSessionDialog.tsx,src/features/session-report/components/IssueForm.tsx",media
2026-07-01,gap,frontend-deuda,GAP-FR-RS-005 ESLint pre-existente en AspersionMap.tsx,"Al añadir la prop locked se detecto que AspersionMap.tsx ya tenia 1 error ESLint pre-existente (linea ~479: 'next.has(key) ? next.delete(key) : next.add(key)' ternario usado como statement, no-unused-expressions) + warnings de react-refresh por exportar constantes (ESRI_STYLE) junto a componentes. NO introducido por esta sesion (el diff de locked no toca esas lineas). Fix recomendado: convertir el ternario en if/else y mover constantes exportadas a un modulo aparte. Fuera de alcance.",src/features/geodata-visor/components/AspersionMap.tsx,baja
2026-07-21,gap,RESUELTO,GAP-FR-RS-006 Compartir reportes publicos por liga (fase futura back+front),"VIABLE (alta). Compartir un SessionReport en status 'publicado' via liga publica para clientes con o sin usuario. ENFOQUE SIMPLE (decidido por el dev 2026-07-01): NO se agrega campo share_token ni migracion; se reutiliza el UUID que el reporte YA tiene (uuid4 = no adivinable). La liga es /r/<report_uuid>. Revocar = despublicar (cambiar status != publicado hace que la liga deje de responder). Se acepta perder solo la posibilidad de rotar la liga manteniendo publicado. v1 incluye TODO: tarjeta+semaforo+issues Y el mapa satelital. BACKEND (dev-session-report): (1) endpoint publico AllowAny GET /field_ops/public/session-reports/<uuid>/ que sirve SOLO si status==publicado, sin scope de tenant, read-only; (2) serializer publico que omita datos internos/PII sensibles; (3) para el MAPA: endpoint PUBLICO de puntos de aspersion (AllowAny, ligado al uuid del reporte/sesion, solo si el reporte esta publicado) -> mas superficie de exposicion (datos georef publicos), evaluar PII. Sin migracion ni campo nuevo. FRONTEND (dev-reports): boton 'Compartir/Copiar liga' visible solo si publicado (copia la URL /r/<uuid>); ruta publica /r/<uuid> FUERA del shell autenticado (sin JWT/workspace); vista read-only reutilizando ReportCard/SemaforoBadges/issues + AspersionMap(locked) contra el endpoint publico de puntos. Seguridad: UUID no adivinable, solo publicado, revocar=despublicar, decision de PII, rate-limit. Encaja con D3 (publicado=inmutable) y GAP-AC-003 (PDF). Alcance: fase nueva coordinada, homologacion conjunta. Esfuerzo: back S (endpoint publico + endpoint puntos publico, sin migracion), front M. ALTERNATIVA descartada por el dev: campo share_token dedicado (permitiria rotar la liga sin despublicar, a cambio de migracion + mas complejidad).","CIAgro_alpha_back/apps/field_ops/views.py,CIAgro_alpha_back/apps/field_ops/serializers.py,src/features/session-report/,src/router.tsx",media
2026-07-01,gap,backend-comportamiento,GAP-FR-RS-007 rate_quality puede ser sobrescrito por el evaluador,"La capa 'Rate Quality' del visor lee el campo rate_quality del punto. En import_aspersion_csv FASE 6, si la sesion tiene evaluation, el evaluador SOBREESCRIBE rate_quality con su clasificacion (result['rate_quality']), que podria no ser 'Bajo Objetivo'/'Bien'/'Sobre el objetivo'. classifyRateQuality es robusto (startsWith + fallback sin_dato), pero si el evaluador emite otras etiquetas la capa mostrara sin_dato. Sesiones sin evaluation conservan el valor crudo del CSV. Vigilar si se define un evaluador con etiquetas distintas.","CIAgro_alpha_back/apps/datalayers/tasks.py,src/features/task-manager/lib/aspersionLayers.ts",baja
2026-07-06,cierre,frontend-deuda,GAP-FR-RS-001 RESUELTO — workaround en front confirmado,"Cerrado en rama dev-saneamiento-gaps. Backend ya marcaba id read_only (commit a7af1b6); COMPONENT_SPLIT_REQUEST=False es deliberado (evita romper GeoFeatureModelSerializer). Fix: cast as never + comentario en los 4 call sites. npm run typecheck -> 0 errores.","src/features/admin/dialogs/CreateDataCentralDialog.tsx,src/features/admin/dialogs/CreateDataCentralMainDialog.tsx,src/features/admin/panel/DataCentralMainPanel.tsx,src/features/workspace/FirstUseWizard.tsx",media
2026-07-06,cierre,backend-comportamiento,GAP-FR-RS-003 RESUELTO — constraint condicional,"Cerrado en rama dev-saneamiento-gaps (back). UniqueConstraint condicional condition=Q(is_deleted=False) + validacion de duplicado filtra is_deleted=False. Migracion 0020 aplicada. Verificado end-to-end (soft-delete->recrear 201, segundo vivo sigue en 400). Suite field_ops 61/61.","CIAgro_alpha_back/apps/field_ops/models.py,CIAgro_alpha_back/apps/field_ops/serializers.py",media
2026-07-06,cierre,frontend-deuda,GAP-FR-RS-005 RESUELTO — extraccion a modulo helpers,"Cerrado en rama dev-saneamiento-gaps. Ternario->if/else; ESRI_STYLE/sumAreaByBucket/areaShareByBucket/formatHa movidos a lib/aspersionMap.helpers.ts. Imports actualizados en 4 archivos. ESLint limpio; test 210/210.",src/features/geodata-visor/components/AspersionMap.tsx,baja
2026-07-06,cierre,backend-comportamiento,GAP-FR-RS-007 RESUELTO — fix de 1 linea en back,"Cerrado en rama dev-saneamiento-gaps (back). Hallazgo mas grave que lo documentado: compute() nunca devuelve rate_quality, por lo que SIEMPRE se sobrescribia a vacio (no solo con etiquetas incompatibles). Fix: eliminada la sobrescritura en tasks.py FASE 6, se preserva el valor crudo del CSV. Suite datalayers sin regresiones (9 fallos pre-existentes ajenos).",CIAgro_alpha_back/apps/datalayers/tasks.py,baja
2026-07-29,apertura,backend-comportamiento,GAP-NDVI-CONFIG-001 — config de variables usa el tenant del usuario, no el de la parcela,"El visor NDVI (NdviMap) lee /api/v1/analytics-config/ndvi/ para pintar la superficie con las bandas/colores que el especialista configuro. Ese endpoint resuelve el tenant a partir del USUARIO logueado (gerente dueno del DataCentralMain), no a partir de la PARCELA que se esta viendo. Efecto: un tecnico o cualquier usuario que no sea el gerente dueno de la organizacion no hereda la config de esa organizacion al ver una de sus parcelas -- el visor cae al fallback de gradiente automatico por cuartiles (silencioso, no rompe, pero la customizacion del especialista no se ve). Requiere ajuste backend: resolver el tenant a partir de plot->ranch->producer->DataCentralAssignment->DataCentral->DataCentralMain (misma cadena que ya usa el pipeline de contornos en tasks.py), y relajar el permiso de lectura de NdviVariableConfigView a cualquier usuario autorizado sobre esa parcela, no solo el owner.",CIAgro_alpha_front/src/features/geodata-visor/components/NdviMap.tsx;CIAgro_alpha_back/apps/analytics_config/views.py,media
2026-07-29,cierre,backend-comportamiento,GAP-NDVI-CONFIG-001 RESUELTO — el visor lee la config por la parcela,"Cerrado (front rama dev-visor-ndvi, back rama dev-visor-contornos). El visor dejo de leer /analytics-config/ndvi/ (resuelto por el usuario) y ahora usa useNdviSessionVariableConfig contra GET /monitoring/ndvi/headers/{id}/variable-config/, que el backend resuelve por el tenant DUENO de la parcela y sirve a cualquier usuario con alcance sobre la sesion. Asi un tecnico u otro usuario autorizado ya hereda los umbrales/colores del especialista. El hook owner-only queda para el panel de administracion. Verificado: typecheck/eslint limpios, 218/218 tests.",src/features/geodata-visor/components/NdviMap.tsx;src/features/geodata-visor/hooks/useNdviVariableConfig.ts,media
2026-08-24,gap,rendimiento,GAP-SUELO-001 [RESUELTO 2026-08-25 en SL-W] Interpolacion IDW sincrona congela el Visor al pintar cada capa,"analyzeSoilSurface (src/features/task-manager/lib/soilMapSurface.ts) interpola una malla de 260x260 celdas contra hasta 1000 muestras por cada capa que se pinta: 67600 celdas por 1000 muestras. Medido en Node sobre maquina de desarrollo: 773 ms. En laptop de campo se estima 1.5-2.5 s. Corre SINCRONO dentro de un useMemo en SoilMap.tsx, asi que no es un spinner sino la pestaña trabada, y se paga al abrir la sesion y en CADA cambio de capa. Es un cuello DISTINTO al que resuelve la FASE SL del backend: el sparse fieldset baja la descarga de 22.83 MB a 2.90 MB pero no toca este tiron. Salidas posibles: mover el IDW a un Web Worker (no lo hace mas rapido pero deja de congelar la UI), bajar la malla de 260x260, o precomputar la superficie en backend al estilo de las coropletas NDVI. Cruzar con .context/prompts/propossal-to-solve-kriging.md. NOTA: kriging.ts existe en el repo pero NO esta en esta ruta de render; el costo real es el IDW de soilMapSurface.ts. RESUELTO el 2026-08-25 en la fase SL-W: la interpolacion se movio a un Web Worker (el primero del proyecto) mas cache por capa. La app ya no se congela; el calculo sigue tardando 1-3 s pero en otro hilo, y revisitar una capa es inmediato. Aclaracion registrada: un bloqueo del hilo principal NO tiene alcance parcial, asi que 'congelar solo el visor' no era posible — lo que se logro es que no se congele nada. Queda abierto SOLO si algun dia estorban los 1-3 s en si, y esa salida (bajar la malla de 260x260) altera cortes y colores validados con el proveedor. HISTORIAL DE PRIORIDAD: Hubo una rebaja a media el 2026-08-25 basada en una estimacion de 773 ms medida en Node; se revirtio el mismo dia porque el desarrollador midio 1-3 s EN NAVEGADOR, de 2 a 4 veces mas. Lección: no repriorizar con una estimacion tomada fuera del entorno real. Sigue siendo un cuello DISTINTO al de la carga —esa la resuelve SL-F, de 36-63 s a ~2 s— y por eso no entra a esa sesion (decision F4): ninguna de sus salidas toca los segundos de carga. Se ataca como fase propia DESPUES de SL-F, cuando se pueda medir cual mejoro que. Aclaracion importante para quien lo tome: el raster interpolado NUNCA SE DIBUJA; se calcula para sacar los cortes de la leyenda (cuantiles de un raster simulado, a proposito, porque los valores crudos conservan outliers y darian limites distintos a los reportes exportados) y las hectareas por rango de SoilMapStatsCard. Por eso no se puede simplemente omitir. Salidas: cachear el analisis por capa (volver a una capa ya vista pasa a instantaneo, la primera vez sigue igual), Web Worker (no acelera, pero la pestaña deja de congelarse), o precomputar en backend estilo coropletas NDVI. Bajar la malla de 260x260 si acelera pero ALTERA cortes y colores ya validados con el proveedor.","src/features/task-manager/lib/soilMapSurface.ts, src/features/geodata-visor/components/SoilMap.tsx",resuelto
2026-08-24,gap,rendimiento,GAP-SUELO-002 [RESUELTO 2026-08-25 en SL-F] layerCounts dependia de los valores completos y bloquea la precarga por capa,"SoilMap.tsx:184 calcula layerCounts mapeando las 49 capas de SOIL_MAP_LAYERS con samplesForLayer sobre TODOS los puntos —con la sesion real, 49 por 16944 accesos— solo para elegir la capa inicial que tenga datos. El problema no es su costo sino que DEPENDE de que los puntos traigan todos los valores: con la precarga fields=id,geom que habilita la FASE SL, layerCounts daria 0 en las 49 capas y el useEffect de fallback cambiaria de capa erraticamente. BLOQUEANTE para la sesion SL-F: hay que sustituirlo por el count por variable de GET /soil-map/headers/<id>/variable-stats/, que entrega lo mismo en 5.1 KB sin descargar un solo punto. Es la pieza que amarra el endpoint de estadisticas nuevo con la carga por capa.","src/features/geodata-visor/components/SoilMap.tsx",resuelto
2026-08-24,nota,arquitectura,GAP-SUELO-003 [CERRADO 2026-08-25 SIN CAMBIO — decision respaldada por medicion] Las paginas se quedan EN SERIE a proposito,"fetchAllSoilMapPoints (src/features/task-manager/hooks/useSoilMapPoints.ts) hace while(true) con page_size=2000 y espera cada pagina para pedir la siguiente: con la sesion real son 9 vueltas encadenadas antes de resolver la promesa y pintar nada. La primera respuesta ya trae count, asi que el numero de paginas se conoce tras ella y las restantes pueden pedirse en paralelo. Con la precarga fields=id,geom cada pagina baja de 2759 KB a 226 KB, lo que vuelve la paralelizacion mucho mas barata en memoria. REPRIORIZADO 2026-08-25 DE MEDIA A ALTA: medido en navegador, cada pagina tarda 4-7 s y son 9 encadenadas, o sea 36-63 s totales; el encadenamiento no es un detalle sino un multiplicador x9 sobre el costo por pagina. Con paginas de 226 KB (fields=id,geom) paralelizar pasa de arriesgado a obvio. Se resuelve dentro de SL-F1.","src/features/task-manager/hooks/useSoilMapPoints.ts",cerrado
